dataset,instance,num_workers,num_tasks,delta,max_delta_index,algorithm_solution_set,deletion_solution_set,optimal_solution_set,algorithm_cost,deletion_cost,optimal_cost
20_tasks,instance12.csv,61,20,15,8,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 13, 14, 15, 17, 18, 19, 20, 21, 22, 30, 31, 36, 38, 40, 42, 44, 47, 48, 51, 54, 56, 57, 59, 61]","[1, 3, 4, 7, 8, 9, 10, 13, 14, 15, 17, 19, 22, 31, 36, 40, 42, 44, 47, 56, 57, 59, 61]","[2, 4, 7, 8, 10, 13, 14, 22, 23, 29, 33, 38, 40, 42, 44, 47, 49, 56, 57, 59, 61]",342,241,207.0
20_tasks,instance13.csv,61,20,19,10,"[1, 2, 6, 7, 11, 12, 14, 15, 18, 19, 25, 26, 28, 31, 33, 34, 35, 37, 40, 42, 46, 48, 50, 56, 58, 59, 60]","[1, 2, 6, 7, 11, 12, 14, 15, 18, 19, 26, 28, 33, 34, 35, 37, 46, 48, 50, 56, 58, 59, 60]","[1, 2, 7, 11, 12, 15, 18, 19, 20, 25, 26, 28, 31, 33, 34, 37, 42, 46, 47, 49, 50, 54, 56, 58, 59, 60]",252,243,206.0
20_tasks,instance14.csv,62,20,19,13,"[2, 3, 4, 6, 7, 10, 12, 15, 16, 17, 18, 19, 20, 21, 23, 28, 30, 31, 32, 33, 39, 41, 44, 47, 48, 51, 54, 55, 56, 57, 61]","[2, 4, 6, 10, 12, 15, 16, 17, 19, 20, 21, 28, 31, 39, 41, 44, 51, 54, 55, 57, 61]","[2, 6, 8, 10, 12, 16, 21, 28, 30, 31, 39, 40, 41, 46, 48, 55, 57, 61]",257,193,150.0
20_tasks,instance15.csv,62,20,17,11,"[1, 3, 6, 7, 8, 10, 11, 12, 13, 17, 19, 20, 23, 25, 26, 27, 28, 32, 36, 39, 40, 41, 45, 46, 47, 48, 52, 54, 56, 58, 59, 60, 62]","[1, 3, 6, 7, 8, 10, 12, 13, 17, 19, 20, 23, 25, 26, 27, 28, 32, 36, 40, 45, 46, 47, 52, 54, 56, 58, 59, 62]","[1, 6, 8, 10, 15, 19, 23, 26, 28, 30, 33, 39, 40, 56, 58, 59, 61]",363,293,242.0
20_tasks,instance16.csv,60,20,17,13,"[1, 2, 3, 6, 9, 10, 11, 15, 16, 17, 18, 20, 22, 24, 25, 26, 29, 31, 37, 38, 42, 44, 45, 46, 48, 52, 59, 60]","[1, 2, 3, 9, 10, 15, 16, 18, 20, 22, 24, 25, 29, 37, 38, 42, 45, 46, 48, 52, 59]","[1, 2, 9, 15, 16, 22, 24, 25, 33, 36, 37, 38, 42, 45, 46, 48, 51, 52, 59]",275,242,228.0
20_tasks,instance17.csv,62,20,16,5,"[3, 4, 8, 9, 11, 12, 14, 15, 17, 20, 25, 27, 31, 32, 34, 36, 37, 39, 42, 45, 48, 50, 51, 55, 58, 60]","[4, 8, 11, 12, 14, 15, 17, 20, 27, 31, 36, 37, 42, 45, 48, 50, 60]","[3, 8, 9, 15, 17, 20, 22, 31, 45, 48, 49, 50, 51, 55, 57, 59, 60]",404,340,285.0
20_tasks,instance18.csv,60,20,16,9,"[2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 15, 17, 18, 20, 21, 24, 28, 29, 32, 35, 37, 41, 42, 44, 46, 47, 50, 52, 54, 55, 56, 59, 60]","[2, 3, 5, 6, 9, 10, 11, 13, 15, 17, 18, 20, 24, 28, 29, 32, 35, 37, 41, 42, 44, 46, 47, 50, 52, 54, 56, 59, 60]","[2, 6, 8, 9, 12, 13, 24, 25, 27, 28, 29, 30, 33, 35, 37, 39, 42, 44, 46, 47, 49, 52, 53, 56, 59, 60]",279,266,223.0
20_tasks,instance19.csv,61,20,17,3,"[1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 19, 20, 24, 25, 27, 31, 36, 37, 40, 47, 51, 52, 54, 55, 58]","[1, 2, 3, 4, 6, 7, 8, 11, 12, 13, 14, 15, 19, 20, 24, 25, 27, 31, 36, 37, 40, 47, 51, 52, 54, 55, 58]","[2, 4, 5, 7, 8, 11, 12, 14, 15, 22, 23, 24, 25, 27, 34, 36, 40, 44, 47, 51, 52, 54, 56, 58]",228,226,202.0
20_tasks,instance20.csv,63,20,18,16,"[1, 2, 3, 4, 6, 10, 11, 13, 14, 15, 17, 18, 19, 20, 25, 28, 31, 34, 35, 53, 58]","[1, 2, 3, 10, 11, 13, 14, 15, 17, 18, 19, 20, 25, 31, 34, 35, 53, 58]","[2, 3, 14, 20, 22, 23, 25, 31, 32, 34, 35, 36, 44, 49, 53, 57, 61]",262,247,188.0
20_tasks,instance21.csv,63,20,18,6,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 14, 16, 17, 18, 19, 25, 28, 30, 31, 34, 36, 37, 41, 43, 44, 45, 46, 47, 52, 53, 55, 59, 60, 61, 63]","[1, 3, 5, 6, 7, 8, 9, 14, 16, 17, 18, 19, 28, 30, 31, 34, 36, 37, 41, 43, 45, 46, 47, 52, 55, 59, 61, 63]","[3, 5, 6, 7, 8, 12, 13, 14, 18, 19, 22, 26, 31, 37, 41, 43, 46, 51, 52, 53, 55, 60, 62, 63]",284,248,207.0
